premise,question,choice1,choice2,label
The man caught his shirtsleeve on the rungs of the fence.,effect,He hopped the fence.,The sleeve ripped.,1
The investigators deemed the man's death a suicide.,cause,He left a note.,He had children.,0
The computer crashed.,cause,I backed up my files.,I downloaded a virus.,1
The girl's mouth ached.,cause,She lost a tooth.,She swallowed her gum.,0
The room was dim.,effect,I opened the blinds.,I washed the windows.,0
The father put his daughter in her stroller.,cause,She learned to walk.,He was tired of carrying her.,1
The spy discovered the enemy's location.,cause,The spy bugged the enemy's phone.,The spy was hired by the government.,0
The glasses on the table spilled.,cause,The child drew on the table.,The child yanked the tablecloth.,1
The water in the teapot started to boil.,effect,The teapot cooled.,The teapot whistled.,1
The city re-elected the mayor.,cause,The city cut its budget.,The mayor fulfilled his promises.,1
The woman exaggerated the details of the story.,cause,She wanted attention.,She felt shy.,0
The woman hit a midlife crisis.,effect,She retired.,She went sky diving.,1
The man went into denial about the tragedy.,effect,He got over it easily.,He refused to talk about it.,1
The man grieved.,cause,His wife criticized him.,His mother passed away.,1
The girl had a phobia of dogs.,cause,She rescued an abandoned dog.,She was bitten by a dog.,1
I made a resolution to eat a healthy diet.,effect,I attended a yoga class.,I bought fruits and vegetables.,1
The patient went into a coma.,cause,He suffered emotional trauma.,He suffered brain damage.,1
The friends' dinnertime conversation turned to politics.,effect,The conversation quieted down.,A debate erupted.,1
The woman spotted her friend from across the room.,cause,The woman waved.,The woman escaped.,0
The mother needed help looking after her children.,effect,She sent the children to daycare.,She gave up custody of the children.,0
The driver honked her horn.,cause,Another car swerved into her lane.,She made a right turn at the light.,0
The man wanted to save money.,effect,He withdrew money from his savings account.,He cut back on making frivolous purchases.,1
I put shoes on.,cause,The floor contained broken glass.,The paint on the walls was wet.,0
The librarian located the book in the stacks.,cause,I requested the librarian's help.,The book was checked out.,0
The mother became eye level with her son.,cause,She squatted down.,She held his hand.,0
I packed up my belongings.,cause,I was hunting for a new apartment.,I was moving out of my apartment.,1
The boy mimicked his older brother.,cause,The boy looked up to his older brother.,The boy wrestled with his older brother.,0
The girl desired her parent's approval.,effect,She ran away from home.,She obeyed her parent's rules.,1
The truck crashed into the motorcycle on the bridge.,effect,The motorcyclist died.,The bridge collapsed.,0
The retail shop shut down.,cause,Its sales were lagging.,It renewed its lease.,0
The swimmer won the race.,effect,She received a gold medal.,Her team lost the meet.,0
Air pollution in the city worsened.,cause,Factories increased their production.,Factories shut down.,0
The mother scolded her daughter.,cause,Her daughter burped at the kitchen table.,Her daughter set the kitchen table.,0
I excused myself from the group.,cause,I turned off my phone.,My phone rang.,1
The skier slipped on the slope.,cause,She dropped her ski poles.,She hit a patch of ice.,1
The print on the brochure was tiny.,effect,The man put his glasses on.,The man retrieved a pen from his pocket.,0
I flipped the light switch up and down.,effect,The light faded.,The light flickered.,1
The man's watch was broken.,effect,He waited at the bus stop.,He asked a stranger for the time.,1
The soldiers were concealed in the brush.,cause,They were armed with rifles.,They wore camouflage uniforms.,1
